Resuming: 33 language(s) already complete, skipping them.
Fetching 69 language(s), 15 clips each.
[1/69] ff_sn: pulled 15 clips in 4.1s
[2/69] ga_ie: pulled 15 clips in 4.0s
[3/69] hr_hr: pulled 15 clips in 3.2s
[4/69] hu_hu: pulled 15 clips in 2.8s
[5/69] hy_am: pulled 15 clips in 5.1s
[6/69] id_id: pulled 15 clips in 2.6s
[7/69] ig_ng: pulled 15 clips in 2.9s
[8/69] is_is: pulled 15 clips in 2.9s
[9/69] it_it: pulled 15 clips in 10.0s
[10/69] jv_id: pulled 15 clips in 3.4s
[11/69] ka_ge: pulled 15 clips in 3.5s
[12/69] kam_ke: pulled 15 clips in 3.9s
[13/69] kea_cv: pulled 15 clips in 3.3s
[14/69] kk_kz: pulled 15 clips in 3.4s
[15/69] km_kh: pulled 15 clips in 3.5s
[16/69] kn_in: pulled 15 clips in 3.9s
[17/69] ko_kr: pulled 15 clips in 9.7s
[18/69] ky_kg: pulled 15 clips in 2.8s
[19/69] lb_lu: pulled 15 clips in 3.1s
[20/69] lg_ug: pulled 15 clips in 2.4s
[21/69] ln_cd: pulled 15 clips in 2.6s
[22/69] lo_la: pulled 15 clips in 2.7s
[23/69] lt_lt: pulled 15 clips in 3.1s
[24/69] luo_ke: pulled 15 clips in 3.1s
[25/69] lv_lv: pulled 15 clips in 3.1s
[26/69] mi_nz: pulled 15 clips in 4.1s
[27/69] mk_mk: pulled 15 clips in 5.1s
[28/69] ml_in: pulled 15 clips in 3.4s
[29/69] mn_mn: pulled 15 clips in 3.1s
[30/69] mr_in: pulled 15 clips in 3.5s
[31/69] ms_my: pulled 15 clips in 3.7s
[32/69] mt_mt: pulled 15 clips in 3.3s
[33/69] my_mm: pulled 15 clips in 3.0s
[34/69] nb_no: pulled 15 clips in 4.1s
[35/69] ne_np: pulled 15 clips in 4.5s
[36/69] nl_nl: pulled 15 clips in 2.6s
[37/69] nso_za: pulled 15 clips in 3.7s
[38/69] ny_mw: pulled 15 clips in 3.5s
[39/69] oc_fr: pulled 15 clips in 3.8s
[40/69] om_et: pulled 15 clips in 3.7s
[41/69] or_in: pulled 15 clips in 3.2s
[42/69] pa_in: pulled 15 clips in 3.5s
[43/69] pl_pl: pulled 15 clips in 3.0s
[44/69] ps_af: pulled 15 clips in 4.3s
[45/69] pt_br: pulled 15 clips in 2.9s
[46/69] ro_ro: pulled 15 clips in 3.8s
[47/69] ru_ru: pulled 15 clips in 3.1s
[48/69] sd_in: pulled 15 clips in 3.0s
[49/69] sk_sk: pulled 15 clips in 2.5s
[50/69] sl_si: pulled 15 clips in 3.0s
[51/69] sn_zw: pulled 15 clips in 2.5s
[52/69] so_so: pulled 15 clips in 4.0s
[53/69] sr_rs: pulled 15 clips in 3.0s
[54/69] sv_se: pulled 15 clips in 2.8s
[55/69] ta_in: pulled 15 clips in 3.9s
[56/69] te_in: pulled 15 clips in 3.9s
[57/69] tg_tj: pulled 15 clips in 3.6s
[58/69] th_th: pulled 15 clips in 3.3s
[59/69] tr_tr: pulled 15 clips in 3.1s
[60/69] uk_ua: pulled 15 clips in 3.1s
[61/69] umb_ao: pulled 15 clips in 4.2s
[62/69] ur_pk: pulled 15 clips in 3.2s
[63/69] uz_uz: pulled 15 clips in 2.8s
[64/69] vi_vn: pulled 15 clips in 2.6s
[65/69] wo_sn: pulled 15 clips in 3.1s
[66/69] xh_za: pulled 15 clips in 3.3s
[67/69] yo_ng: pulled 15 clips in 5.2s
[68/69] yue_hant_hk: pulled 15 clips in 2.8s
[69/69] zu_za: pulled 15 clips in 3.9s

All languages pulled successfully.
